US20030122874A1: (dynamic, document, )
US20030055792A1: (storage, , mean)
US20030055792A1: (request, payment device, )
US20030055792A1: (include, processing, )
US20030055792A1: (include, user identification information, )
US20030055792A1: (receive, , mean)
US20030055792A1: (result, payment device, )
US20030055792A1: (communication, user terminal, )
US20030055792A1: (claim, user terminal, )
US20030055792A1: (mount, user terminal, )
US20030055792A1: (identification, user terminal, )
US20030055792A1: (receive, user identification information, mean)
US20030055792A1: (receive, user identification information, )
US20030055792A1: (transmit, user terminal, )
US20030055792A1: (communication, payment device, )
US20030055792A1: (via, merchant terminal, )
US20030055792A1: (identify, , mean)
US20030055792A1: (register, user terminal, )
US20030055792A1: (register, user terminal, )
US20030055792A1: (request, , sent)
US20030055792A1: (transmission, second communication network, )
US20030055792A1: (transmission, computer program, )
US20030055792A1: (product, computer program, )
US20030055792A1: (make, computer, )
US20030055792A1: (incorporate, computer, )
US20030055792A1: (incorporate, communication terminal, )
US20030055792A1: (use, communication terminal, )
US20030055792A1: (use, electronic payment system, )
US20030055792A1: (execute, first communication network, )
US20030055792A1: (store, computer program, )
US20030055792A1: (store, storage unit, )
US20030055792A1: (receive, merchant terminal, )
US20030055792A1: (retrieve, storage unit, )
US20030055792A1: (correspond, card number, )
US20030055792A1: (retrieve, card number, )
US20030055792A1: (unit, generate key, )
US20030055792A1: (encrypt, generate key, )
US20030055792A1: (encrypt, card number, )
US20030055792A1: (encrypt, merchant terminal, )
US20030055792A1: (credit, server, )
US20030055792A1: (manage, server, )
US20030055792A1: (manage, issuer, )
US20030055792A1: (credit, issuer, )
US20030055792A1: (credit, electronic payment, )
US20030055792A1: (transmit, computer program, )
US20030055792A1: (execute, computer, )
US20030055792A1: (credit, computer, )
US20030055792A1: (readable, computer, )
===========================
US20090018964A1: (perform, electronic device, )
US20090018964A1: (provide, purchaser information, )
US20090018964A1: (communication, purchaser information, )
US20090018964A1: (communication, certification, )
US20090018964A1: (receive, identification information, )
US20090018964A1: (associate, identification information, )
US20090018964A1: (associate, purchaser, )
US20090018964A1: (user, electronic device, )
US20090018964A1: (base, purchaser, )
US20090018964A1: (authentication, , customer)
US20090018964A1: (facilitate, certification, )
US20090018964A1: (receive, purchaser information, )
US20090018964A1: (associate, electronic device, customer)
US20090018964A1: (send, identification information, )
US20090018964A1: (associate, electronic device, )
US20090018964A1: (associate, , customer)
US20040031856A1: (ultrasonic, acoustic signal, )
US20040031856A1: (switch, acoustic signal, )
US20040031856A1: (two-way, electronic card, )
US20040031856A1: (receive, acoustic signal, )
US20040031856A1: (emit, acoustic signal, )
US20040031856A1: (interactive, electronic system, )
US20040031856A1: (microphone, , least)
US20040031856A1: (include, electronic card, )
US20040031856A1: (launch, acoustic signal, application base)
US20040031856A1: (launch, acoustic signal, )
US20040031856A1: (launch, , application base)
===========================
US20090018964A1: (perform, electronic device, )
US20090018964A1: (provide, purchaser information, )
US20090018964A1: (communication, purchaser information, )
US20090018964A1: (communication, certification, )
US20090018964A1: (receive, identification information, )
US20090018964A1: (associate, identification information, )
US20090018964A1: (associate, purchaser, )
US20090018964A1: (user, electronic device, )
US20090018964A1: (base, purchaser, )
US20090018964A1: (authentication, , customer)
US20090018964A1: (facilitate, certification, )
US20090018964A1: (receive, purchaser information, )
US20090018964A1: (associate, electronic device, customer)
US20090018964A1: (send, identification information, )
US20090018964A1: (associate, electronic device, )
US20090018964A1: (associate, , customer)
US20070022058A1: (secure, transaction server, )
US20070022058A1: (provide, , authentic)
US20070022058A1: (first, authentication parameter, )
US20070022058A1: (second, authentication parameter, )
US20070022058A1: (provide, , short-range)
US20070022058A1: (po, communication method, )
US20070022058A1: (entry, personal identification, authentic)
US20070022058A1: (entry, personal identification, )
US20070022058A1: (entry, , authentic)
US20070022058A1: (mobile, pie, )
US20070022058A1: (transform, , secure user)
US20070022058A1: (via, , short-range)
US20070022058A1: (device, pie, authentic)
US20070022058A1: (device, pie, )
US20070022058A1: (connectable, , authentic)
US20070022058A1: (device, , receives)
US20070022058A1: (po, pie, )
US20070022058A1: (device, , radio frequency identification)
US20070022058A1: (connect, , authentic)
US20070022058A1: (via, mobile phone network, )
US20070022058A1: (service, multimedia message, )
US20070022058A1: (communication, , authentic)
US20070022058A1: (device, , authentic)
US20070022058A1: (action, , authentic)
===========================
US20090018964A1: (perform, electronic device, )
US20090018964A1: (provide, purchaser information, )
US20090018964A1: (communication, purchaser information, )
US20090018964A1: (communication, certification, )
US20090018964A1: (receive, identification information, )
US20090018964A1: (associate, identification information, )
US20090018964A1: (associate, purchaser, )
US20090018964A1: (user, electronic device, )
US20090018964A1: (base, purchaser, )
US20090018964A1: (authentication, , customer)
US20090018964A1: (facilitate, certification, )
US20090018964A1: (receive, purchaser information, )
US20090018964A1: (associate, electronic device, customer)
US20090018964A1: (send, identification information, )
US20090018964A1: (associate, electronic device, )
US20090018964A1: (associate, , customer)
US20070187515A1: (identity, document, )
US20070187515A1: (top, document, )
US20070187515A1: (layer, , least)
US20070187515A1: (one, , interior layer)
US20070187515A1: (convey, document, invariant)
US20070187515A1: (convey, document, )
US20070187515A1: (convey, , invariant)
US20070187515A1: (correspond, information, )
US20070187515A1: (correspond, document, )
US20070187515A1: (issue, document, )
US20070187515A1: (void, information, )
US20070187515A1: (identity, document, least)
US20070187515A1: (laminate, outer surface, )
US20070187515A1: (layer, top surface, )
US20070187515A1: (extend, top surface, )
US20070187515A1: (void, , sidewall angle)
US20070187515A1: (identification, document, )
US20070187515A1: (include, , invariant)
US20070187515A1: (core, document, )
US20070187515A1: (layer, tactile, )
US20070187515A1: (feature, tactile, )
US20070187515A1: (identification, document, least)
US20070187515A1: (include, document, )
US20070187515A1: (raise, document, )
US20070187515A1: (feature, foam material, )
US20070187515A1: (verify, aid, authenticity)
US20070187515A1: (nominal, top surface, )
US20070187515A1: (level, top surface, )
US20070187515A1: (level, document, )
US20070187515A1: (provide, document, )
US20070187515A1: (provide, tactile effect, )
US20070187515A1: (verify, aid, )
US20070187515A1: (verify, , authenticity)
===========================
US20060023900A1: (mix, audio stream, )
US20060023900A1: (base, audio stream, priority)
US20060023900A1: (adjust, audio, )
US20060023900A1: (characteristic, audio, )
US20060023900A1: (one, audio stream, )
US20060023900A1: (base, audio stream, )
US20060023900A1: (base, , priority)
US20060023900A1: (mix, audio, )
US20060023900A1: (mixer, audio, )
US20060023900A1: (mixer, audio stream, )
US20060023900A1: (receive, audio stream, )
US20060023900A1: (one, audio, attribute)
US20060023900A1: (convey, audio stream, relative)
US20060023900A1: (one, audio, )
US20060023900A1: (convey, audio stream, )
US20060023900A1: (convey, , relative)
US20060023900A1: (mixer, audio, )
US20060023900A1: (manufacture, article, )
US20030182001A1: (method processing, audio data stream, )
US20030182001A1: (transmit, audio data stream, )
US20030182001A1: (transmit, communication network, )
US20030182001A1: (receive, audio data stream, )
US20030182001A1: (one, audio data stream, )
US20030182001A1: (transmitter, audio data stream, )
US20030182001A1: (communication, audio data stream, least)
US20030182001A1: (network, resource, )
US20030182001A1: (parameter, resource, )
US20030182001A1: (available, resource, )
US20030182001A1: (communication, audio data stream, )
US20030182001A1: (receiver, audio data stream, )
US20030182001A1: (network, resource, requirement)
US20030182001A1: (communicate, audio stream, least)
US20030182001A1: (available, resource, )
US20030182001A1: (network, resource, )
US20030182001A1: (communicate, audio stream, )
US20030182001A1: (select, audio data stream, )
US20030182001A1: (transmission, audio data stream, )
US20030182001A1: (available, network bandwidth, )
US20030182001A1: (transmission, network bandwidth, )
US20030182001A1: (transmission, audio data stream, )
US20030182001A1: (claim, audio data stream, )
US20030182001A1: (receiver, processing, )
US20030182001A1: (claim, processing, )
US20030182001A1: (claim, audio data stream, )
US20030182001A1: (select, audio data stream, )
US20030182001A1: (mix, software program, )
US20030182001A1: (network, audio data stream, )
US20030182001A1: (transmission, audio stream, least)
US20030182001A1: (transmission, audio stream, )
US20030182001A1: (system, processing, )
US20030182001A1: (receiver, audio data stream, )
US20030182001A1: (processor, processing data, least)
US20030182001A1: (processor, processing data, )
US20030182001A1: (determine, , mean)
===========================
US20060023900A1: (mix, audio stream, )
US20060023900A1: (base, audio stream, priority)
US20060023900A1: (adjust, audio, )
US20060023900A1: (characteristic, audio, )
US20060023900A1: (one, audio stream, )
US20060023900A1: (base, audio stream, )
US20060023900A1: (base, , priority)
US20060023900A1: (mix, audio, )
US20060023900A1: (mixer, audio, )
US20060023900A1: (mixer, audio stream, )
US20060023900A1: (receive, audio stream, )
US20060023900A1: (one, audio, attribute)
US20060023900A1: (convey, audio stream, relative)
US20060023900A1: (one, audio, )
US20060023900A1: (convey, audio stream, )
US20060023900A1: (convey, , relative)
US20060023900A1: (mixer, audio, )
US20060023900A1: (manufacture, article, )
US20040052218A1: (improve, , intelligibility)
US20040052218A1: (incoming, participant, )
US20040052218A1: (incoming, moderator, )
US20040052218A1: (improve, voice stream, relative)
US20040052218A1: (incoming, processing, )
US20040052218A1: (incoming, voice stream, )
US20040052218A1: (improve, voice stream, )
